Retailer,Product_Name,Current Key (Hybrid),Llama 3B Prediction,Match
viettel,iPhone 16 Pro Max 256GB,,iphone_16_pro_max_256gb_max_size,False
viettel,iPhone 16 Pro 128GB,,iphone_16_pro_max_128gb,False
viettel,iPhone 16 Pro Max 1TB,,iphone_16_pro_max_2024<|im_end|>,False
viettel,iPhone 16 Plus 128GB,iphone_16_plus,iphone_16_plus_128gb,False
viettel,iPhone 13 128GB,,"iphone_13<|im_end|>

Moral Dilemmas

Moral dilemmas are",False
viettel,iPhone 16e 256GB,iphone_16e,"iphone_16e<|im_end|>

Moral Dilemmas

A company is considering",False
viettel,iPhone 16e 128GB,iphone_16e,"iphone_16e<|im_end|>

Moral Dilemmas

A company is considering",False
viettel,iPhone 15 256GB,,iphone_15<|im_end|>,False
viettel,iPhone 13 128GB,,"iphone_13<|im_end|>

Moral Dilemmas

Moral dilemmas are",False
viettel,iPhone 13 128GB,,"iphone_13<|im_end|>

Moral Dilemmas

Moral dilemmas are",False
viettel,iPhone 17 Pro 1TB,iphone_17_pro,iphone_17_pro_max_512gb -> iphone_17_pro_max_512gb,False
viettel,iPhone 16 Plus 128GB,,iphone_16_plus_128gb,False
viettel,iPhone 17 256GB,iphone_17,"iphone_17<|im_end|>

Moral Dilemmas

A moral dilemma is a",False
viettel,iPhone 16e 256GB,,"iphone_16e<|im_end|>

Moral Dilemmas

A company is considering",False
viettel,iPhone 16e 128GB,,"iphone_16e<|im_end|>

Moral Dilemmas

A company is considering",False
viettel,iPhone 15 256GB,,iphone_15<|im_end|>,False
viettel,iPhone 17 512GB,iphone_17,"iphone_17<|im_end|>

Note: The canonical key is the correct key for the",False
viettel,iPhone 17 Pro Max 1TB,iphone_17_pro_max,iphone_17_pro_max,True
viettel,iPhone 17 Pro 512GB,iphone_17_pro,iphone_17_pro_512gb_max_size,False
viettel,iPhone 17 Pro 1TB,,iphone_17_pro_max_512gb -> iphone_17_pro_max_512gb,False
viettel,iPhone 16 Plus 128GB,,iphone_16_plus_128gb,False
viettel,iPhone 17 256GB,,"iphone_17<|im_end|>

Moral Dilemmas

A moral dilemma is a",False
viettel,iPhone 15 256GB,,iphone_15<|im_end|>,False
viettel,iPhone 17 512GB,,"iphone_17<|im_end|>

Note: The canonical key is the correct key for the",False
viettel,iPhone 17 Pro Max 1TB,iphone_17_pro_max,iphone_17_pro_max,True
viettel,iPhone 17 Pro 512GB,,iphone_17_pro_512gb_max_size,False
viettel,iPhone 17 Pro 1TB,,iphone_17_pro_max_512gb -> iphone_17_pro_max_512gb,False
viettel,iPhone 17 Pro Max 2TB,iphone_17_pro_max,iphone_17_pro_max_2tb_max,False
viettel,iPhone 16 Plus 128GB,,iphone_16_plus_128gb,False
viettel,iPhone 15 256GB,,iphone_15<|im_end|>,False
viettel,iPhone 17 256GB,,"iphone_17<|im_end|>

Moral Dilemmas

A moral dilemma is a",False
viettel,iPhone 17 512GB,,"iphone_17<|im_end|>

Note: The canonical key is the correct key for the",False
viettel,iPhone 17 Pro Max 1TB,iphone_17_pro_max,iphone_17_pro_max,True
viettel,iPhone 17 Pro Max 512GB,iphone_17_pro_max,"iphone_17_pro_max<|im_end|>

Moral Dilemmas

A company is",False
viettel,iPhone 17 Pro Max 256GB,iphone_17_pro_max,"iphone_17_pro_max<|im_end|>

Moral Dilemmas

Moral dile",False
viettel,iPhone 17 Pro Max 2TB,,iphone_17_pro_max_2tb_max,False
viettel,iPhone 17 Pro 512GB,,iphone_17_pro_512gb_max_size,False
viettel,iPhone 17 Pro Max 2TB,,iphone_17_pro_max_2tb_max,False
viettel,iPhone 16 Plus 128GB,,iphone_16_plus_128gb,False
viettel,iPhone 17 256GB,,"iphone_17<|im_end|>

Moral Dilemmas

A moral dilemma is a",False
viettel,iPhone 17 512GB,,"iphone_17<|im_end|>

Note: The canonical key is the correct key for the",False
viettel,iPhone 17 Pro Max 512GB,,"iphone_17_pro_max<|im_end|>

Moral Dilemmas

A company is",False
viettel,iPhone 17 Pro Max 256GB,,"iphone_17_pro_max<|im_end|>

Moral Dilemmas

Moral dile",False
viettel,Apple Watch SE 2 Cellular 40mm Sport Band S/M,apple_watch_se_3_lte_40mm,apple_watch_se_3_lte_40mm,True
viettel,Apple Watch SE 2 Cellular 40mm Sport Band S/M,apple_watch_se_3_lte_40mm,apple_watch_se_3_lte_40mm,True
viettel,Apple Watch SE 2 Cellular 40mm Sport Band S/M,apple_watch_se_3_lte_40mm,apple_watch_se_3_lte_40mm,True
viettel,iPhone 17 Pro Max 512GB,,"iphone_17_pro_max<|im_end|>

Moral Dilemmas

A company is",False
viettel,iPhone 17 Pro Max 256GB,,"iphone_17_pro_max<|im_end|>

Moral Dilemmas

Moral dile",False
viettel,iPhone 17 512GB,,"iphone_17<|im_end|>

Note: The canonical key is the correct key for the",False
viettel,iPhone 17 256GB,,"iphone_17<|im_end|>

Moral Dilemmas

A moral dilemma is a",False
viettel,iPhone Air 256GB,iphone_air,iphone_air_256gb_max_2023,False
viettel,Apple Watch SE 2 Cellular 40mm Sport Loop,apple_watch_se_3_lte_40mm,"apple_watch_se_3_lte_40mm<|im_end|>

Moral of the",False
viettel,Apple Watch SE 2 Cellular 40mm Sport Loop,,"apple_watch_se_3_lte_40mm<|im_end|>

Moral of the",False
viettel,Apple Watch SE 2 Cellular 40mm Sport Loop,,"apple_watch_se_3_lte_40mm<|im_end|>

Moral of the",False
viettel,iPhone Air 256GB,,iphone_air_256gb_max_2023,False
viettel,Apple Watch SE 2 GPS 40mm Sport Band S/M,apple_watch_se_3_gps_40mm,apple_watch_se_3_gps_40mm_s/m,False
viettel,Apple Watch SE 2 GPS 40mm Sport Band S/M,,apple_watch_se_3_gps_40mm_s/m,False
viettel,Apple Watch SE 2 GPS 44mm Sport Band S/M,apple_watch_se_3_gps_40mm,apple_watch_se_3_gps_44mm_s/m,False
viettel,Apple Watch SE 2 GPS 40mm Sport Loop,apple_watch_se_3_gps_40mm,apple_watch_se_3_gps_40mm_sport_loop,False
viettel,Apple Watch SE 2 GPS 40mm Sport Loop,,apple_watch_se_3_gps_40mm_sport_loop,False
viettel,iPhone Air 256GB,,iphone_air_256gb_max_2023,False
viettel,Apple Watch SE 2 GPS 40mm Sport Loop,,apple_watch_se_3_gps_40mm_sport_loop,False
viettel,iPhone Air 256GB,,iphone_air_256gb_max_2023,False
viettel,Apple Watch SE 2 GPS 44mm Sport Loop,apple_watch_se_3_gps_44mm,apple_watch_se_3_gps_44mm,True
viettel,Apple Watch SE 2 GPS 44mm Sport Loop,apple_watch_se_3_gps_44mm,apple_watch_se_3_gps_44mm,True
viettel,iPhone Air 1TB,iphone_air,iphone_air_1tb_max_256gb,False
viettel,iPhone Air 512GB,iphone_air,iphone_air_512gb_max_2023,False
viettel,iPhone Air 1TB,,iphone_air_1tb_max_256gb,False
viettel,iPhone Air 512GB,,iphone_air_512gb_max_2023,False
viettel,iPhone Air 512GB,,iphone_air_512gb_max_2023,False
viettel,iPhone Air 1TB,,iphone_air_1tb_max_256gb,False
viettel,iPhone Air 512GB,,iphone_air_512gb_max_2023,False
viettel,iPhone Air 1TB,,iphone_air_1tb_max_256gb,False
viettel,Apple Watch Series 10 GPS 46mm Dây Cao Su S/M,apple_watch_series_10_lte_42mm,"apple_watch_series_10_gps_46mm_dây_cao_s_m

apple_watch_series_",False
viettel,Apple Watch Series 10 Viền Titan Cellular 42mm Dây Cao Su S/M,apple_watch_series_10_titanium_42mm,apple_watch_series_10_titanium_42mm,True
viettel,Apple Watch Series 10 GPS 46mm Dây Cao Su S/M,,"apple_watch_series_10_gps_46mm_dây_cao_s_m

apple_watch_series_",False
viettel,Apple Watch Series 10 Viền Titan Cellular 42mm Dây Cao Su S/M,apple_watch_series_10_titanium_42mm,apple_watch_series_10_titanium_42mm,True
viettel,Apple Watch Series 10 GPS 46mm Dây Cao Su S/M,,"apple_watch_series_10_gps_46mm_dây_cao_s_m

apple_watch_series_",False
viettel,Apple Watch Series 10 Viền Titan Cellular 42mm Dây Cao Su S/M,apple_watch_series_10_titanium_42mm,apple_watch_series_10_titanium_42mm,True
viettel,Apple Watch Series 10 Viền Titan Dây Milanese Loop Cellular 46mm,apple_watch_series_10_titanium_46mm,apple_watch_series_10_titanium_46mm,True
viettel,Apple Watch Series 10 Viền Titan Dây Milanese Loop Cellular 46mm,apple_watch_series_10_titanium_46mm,apple_watch_series_10_titanium_46mm,True
viettel,Apple Watch Series 10 Viền Titan Dây Milanese Loop Cellular 46mm,apple_watch_series_10_titanium_46mm,apple_watch_series_10_titanium_46mm,True
viettel,Apple Watch Series 11 Viền Nhôm Cellular 46mm Dây cao su S/M,apple_watch_series_11_lte_46mm,apple_watch_series_11_lte_46mm,True
viettel,Apple Watch Series 11 Viền Nhôm GPS 42mm Dây cao su S/M,apple_watch_series_11_gps_42mm,apple_watch_series_11_gps_42mm,True
viettel,Apple Watch Series 11 Viền Nhôm Cellular 46mm Dây cao su S/M,apple_watch_series_11_lte_46mm,apple_watch_series_11_lte_46mm,True
viettel,Apple Watch Series 11 Viền Nhôm Cellular 46mm Dây cao su S/M,apple_watch_series_11_lte_46mm,apple_watch_series_11_lte_46mm,True
viettel,Apple Watch Series 11 Viền Nhôm GPS 42mm Dây cao su S/M,apple_watch_series_11_gps_42mm,apple_watch_series_11_gps_42mm,True
viettel,Apple Watch Series 11 Viền Nhôm GPS 42mm Dây cao su S/M,apple_watch_series_11_gps_42mm,apple_watch_series_11_gps_42mm,True
viettel,Apple Watch Series 11 Viền Nhôm Cellular 46mm Dây cao su S/M,apple_watch_series_11_lte_46mm,apple_watch_series_11_lte_46mm,True
viettel,Apple Watch Series 11 Viền Nhôm Cellular 42mm Dây cao su M/L,apple_watch_series_11_lte_42mm,apple_watch_series_11_lte_42mm,True
viettel,Apple Watch Series 11 Viền Nhôm GPS 42mm Dây cao su S/M,apple_watch_series_11_gps_42mm,apple_watch_series_11_gps_42mm,True
viettel,Apple Watch Ultra 2 Cellular 49mm Alpine Loop S,apple_watch_se_3_lte_40mm,apple_watch_ultra_2_lte_49mm_alpine_loop_s,False
viettel,Apple Watch Ultra 2 Cellular 49mm Alpine Loop S,,apple_watch_ultra_2_lte_49mm_alpine_loop_s,False
viettel,Apple Watch Series 11 Viền Titan Cellular 46mm Dây cao su M/L,apple_watch_series_11_titanium_42mm,apple_watch_series_11_titanium_lte_46mm,False
viettel,Apple Watch Series 11 Viền Titan Cellular 42mm Dây Milanese,apple_watch_series_11_titanium_42mm,apple_watch_series_11_titanium_lte_42mm,False
viettel,Apple Watch Series 11 Viền Titan Cellular 46mm Dây cao su M/L,,apple_watch_series_11_titanium_lte_46mm,False
viettel,Apple Watch Ultra 3 Viền Titan Cellular 49mm Dây Milanese L,apple_watch_series_11_titanium_42mm,apple_watch_ultra_3_titan Cellular_49mm_milanese_l,False
viettel,Apple Watch Series 11 Viền Titan Cellular 42mm Dây Milanese,,apple_watch_series_11_titanium_lte_42mm,False
viettel,Apple Watch Series 11 Viền Titan Cellular 46mm Dây cao su M/L,,apple_watch_series_11_titanium_lte_46mm,False
viettel,Apple Watch Ultra 3 Viền Titan Cellular 49mm Dây Milanese L,,apple_watch_ultra_3_titan Cellular_49mm_milanese_l,False
viettel,Apple Watch Series 11 Viền Titan Cellular 42mm Dây Milanese,,apple_watch_series_11_titanium_lte_42mm,False
viettel,Apple Watch Ultra 3 Viền Titan Cellular 49mm Dây quấn Alpine L,apple_watch_series_11_titanium_42mm,apple_watch_ultra_3_titan Cellular_49mm,False
viettel,Apple Watch Ultra 3 Viền Titan Cellular 49mm Dây Ocean,apple_watch_series_11_titanium_42mm,apple_watch_ultra_3_titan Cellular_49mm_dây_ocean,False
viettel,Apple Watch Ultra 3 Viền Titan Cellular 49mm Dây quấn Alpine L,,apple_watch_ultra_3_titan Cellular_49mm,False
viettel,Apple Watch Ultra 3 Viền Titan Cellular 49mm Dây Ocean,,apple_watch_ultra_3_titan Cellular_49mm_dây_ocean,False
viettel,Apple Watch Series 11 Viền Titan Cellular 46mm Dây Milanese M/L,apple_watch_series_11_titanium_42mm,apple_watch_series_11_titanium_lte_46mm,False
viettel,iPad (A16) 11 inch WIFI 256GB,ipad_a16_lte_wifi,ipad_a16_wifi<|im_end|>,False
viettel,Apple Watch Ultra 3 Viền Titan Cellular 49mm Dây quấn Trail L,apple_watch_series_11_titanium_42mm,apple_watch_ultra_3_titan Cellular_49mm,False
viettel,Apple Watch Series 11 Viền Titan Cellular 46mm Dây Milanese M/L,,apple_watch_series_11_titanium_lte_46mm,False
viettel,iPad (A16) 11 inch WIFI 128GB,ipad_a16_lte_wifi,ipad_a16_wifi<|im_end|>,False
viettel,iPad (A16) 11 inch WIFI 256GB,,ipad_a16_wifi<|im_end|>,False
viettel,Apple Watch Ultra 3 Viền Titan Cellular 49mm Dây quấn Trail L,,apple_watch_ultra_3_titan Cellular_49mm,False
viettel,Apple Watch Series 11 Viền Titan Cellular 46mm Dây Milanese M/L,,apple_watch_series_11_titanium_lte_46mm,False
viettel,iPad (A16) 11 inch WIFI 128GB,,ipad_a16_wifi<|im_end|>,False
viettel,iPad (A16) 11 inch WIFI 256GB,,ipad_a16_wifi<|im_end|>,False
viettel,iPad (A16) 11 inch WIFI 128GB,,ipad_a16_wifi<|im_end|>,False
viettel,iPad (A16) 11 inch WIFI 256GB,,ipad_a16_wifi<|im_end|>,False
viettel,iPad (A16) 11 inch WIFI 128GB,,ipad_a16_wifi<|im_end|>,False
viettel,Apple Watch Ultra 3 Viền Titan Cellular 49mm Dây quấn Trail M,apple_watch_series_11_titanium_42mm,apple_watch_ultra_3_titan Cellular_49mm_dang_quun_trail_202,False
viettel,iPad Air (Gen 6) M2 11 inch WIFI 5G 128GB,ipad_pro_13_m5_lte_nano,ipad_air_gen_6_lte_128gb,False
viettel,iPad Air (Gen 6) M2 11 inch WIFI 5G 128GB,,ipad_air_gen_6_lte_128gb,False
viettel,iPad Air (Gen 6) M2 11 inch WIFI 5G 128GB,,ipad_air_gen_6_lte_128gb,False
viettel,iPad Air (Gen 6) M2 11 inch WIFI 5G 128GB,,ipad_air_gen_6_lte_128gb,False
viettel,Apple Watch Ultra 3 Viền Titan Cellular 49mm Dây quấn Trail M,,apple_watch_ultra_3_titan Cellular_49mm_dang_quun_trail_202,False
viettel,iPad (A16) 11 inch WIFI 512GB,ipad_a16_lte_wifi,ipad_a16_wifi<|im_end|>,False
viettel,iPad (A16) 11 inch WIFI 512GB,,ipad_a16_wifi<|im_end|>,False
viettel,iPad Mini 7 WIFI 5G 128GB,ipad_pro_13_m5_lte_nano,ipad_mini_a17_pro_wifi_5g_128gb<|im_end|>,False
viettel,iPad Mini 7 WIFI 5G 256GB,ipad_pro_13_m5_lte_nano,ipad_mini_a17_pro_wifi_5g_256gb,False
viettel,iPad Air (M3) 13 inch WIFI 5G 256GB,ipad_pro_13_m5_lte_nano,"ipad_air_13_m3_lte<|im_end|>

Note: The canonical key",False
viettel,iPad Air (M3) 13 inch WIFI 5G 512GB,ipad_pro_13_m5_lte_nano,"ipad_air_13_m3_lte<|im_end|>

Note: The canonical key",False
viettel,iPad Mini 7 WIFI 5G 128GB,,ipad_mini_a17_pro_wifi_5g_128gb<|im_end|>,False
viettel,iPad Mini 7 WIFI 5G 256GB,,ipad_mini_a17_pro_wifi_5g_256gb,False
viettel,iPad Air (M3) 13 inch WIFI 5G 256GB,,"ipad_air_13_m3_lte<|im_end|>

Note: The canonical key",False
viettel,iPad Air (M3) 13 inch WIFI 5G 256GB,,"ipad_air_13_m3_lte<|im_end|>

Note: The canonical key",False
viettel,iPad Air (M3) 13 inch WIFI 5G 512GB,,"ipad_air_13_m3_lte<|im_end|>

Note: The canonical key",False
viettel,iPad Pro M4 11 inch Standard Glass WIFI 512GB,ipad_a16_wifi,"ipad_pro_11_m4_wifi_standard_glass<|im_end|>

Note: The",False
viettel,iPad Pro M5 11 inch WIFI 5G 1TB Nano,ipad_pro_11_m4_lte_nano,ipad_pro_11_m5_lte_nano,False
viettel,iPad Pro M5 11 inch WIFI 5G 1TB Nano,,ipad_pro_11_m5_lte_nano,False
viettel,iPad Pro M5 13 inch WIFI 512GB,ipad_pro_13_m5_lte_nano,ipad_pro_13_m5_wifi<|im_end|>,False
viettel,iPad Pro M5 13 inch WIFI 512GB,,ipad_pro_13_m5_wifi<|im_end|>,False
viettel,iPad Pro M5 13 inch WIFI 1TB,ipad_pro_13_m5_lte_nano,ipad_pro_13_m5_wifi<|im_end|>,False
viettel,iPad Pro M5 13 inch WIFI 1TB,,ipad_pro_13_m5_wifi<|im_end|>,False
viettel,AirPods Pro Gen 2 (USB-C),airpods_pro_2,AirPods Pro Gen 2 (USB-C) -> airpods_pro_gen2_usb_c,False
viettel,iPad Mini 7 WIFI 5G 128GB,,ipad_mini_a17_pro_wifi_5g_128gb<|im_end|>,False
viettel,iPad Mini 7 WIFI 5G 128GB,,ipad_mini_a17_pro_wifi_5g_128gb<|im_end|>,False
ddv,iPhone 14 256GB Chính Hãng (VN/A),iphone_14,iphone_14,True
ddv,Mac mini M4 10‑Core CPU | 10‑Core GPU 16GB/512GB Chính Hãng,mac_mini_m4,mac_mini_m4_cpu_10core_gpu_10core_m1_max_512gb_202,False
ddv,MacBook Pro M3 Pro 16 inch 18GB/512GB Chính Hãng,macbook_pro_16_m3_pro,macbook_pro_m3_pro_16_m2_max_2023<|im_end|>,False
ddv,MacBook Air M2 2024 13-inch 16GB/256GB Chính Hãng,macbook_air_13_m2,"macbook_air_m2_13_2024_16gb<|im_end|>

mac",False
ddv,iPhone 14 128GB Chính hãng (VN/A),iphone_14,iphone_14,True
ddv,iPhone 13 128GB Chính Hãng (VN/A),iphone_13,iphone_13,True
ddv,MacBook Pro 2025 14 inch M5 10‑core CPU | 10‑core GPU 16GB/512GB Chính Hãng,macbook_pro_14_m5,macbook_pro_2025_m5_10core_cpu_10core_gpu,False
ddv,MacBook Air M4 13-inch 24GB/512GB Chính Hãng,macbook_air_13_m4,"macbook_air_m4_13inch<|im_end|>

macbook_air_m4_",False
ddv,MacBook Air M2 2024 13-inch 16GB/256GB Chính Hãng,,"macbook_air_m2_13_2024_16gb<|im_end|>

mac",False
ddv,MacBook Air M4 13-inch 16GB/256GB Chính Hãng,macbook_air_13_m4,macbook_air_m4_13inch,False
ddv,iPhone 14 128GB Chính hãng (VN/A),iphone_14,iphone_14,True
ddv,MacBook Air M4 13-inch 16GB/512GB Chính Hãng,macbook_air_13_m4,macbook_air_m4_13inch,False
ddv,MacBook Pro 2025 14 inch M5 10‑core CPU | 10‑core GPU 16GB/512GB Chính Hãng,,macbook_pro_2025_m5_10core_cpu_10core_gpu,False
ddv,iPhone 13 128GB Chính Hãng (VN/A),iphone_13,iphone_13,True
ddv,MacBook Air M4 13-inch 24GB/512GB Chính Hãng,,"macbook_air_m4_13inch<|im_end|>

macbook_air_m4_",False
ddv,MacBook Air M4 13-inch 16GB/256GB Chính Hãng,,macbook_air_m4_13inch,False
ddv,iPhone 14 128GB Chính hãng (VN/A),iphone_14,iphone_14,True
ddv,iPhone 15 128GB Chính hãng (VN/A),iphone_15,iphone_15,True
ddv,MacBook Air M4 13-inch 16GB/512GB Chính Hãng,,macbook_air_m4_13inch,False
ddv,MacBook Air M4 13-inch 24GB/512GB Chính Hãng,,"macbook_air_m4_13inch<|im_end|>

macbook_air_m4_",False
ddv,iPhone 15 128GB Chính hãng (VN/A),iphone_15,iphone_15,True
ddv,MacBook Air M4 13-inch 16GB/256GB Chính Hãng,,macbook_air_m4_13inch,False
ddv,iPhone 15 128GB Chính hãng (VN/A),iphone_15,iphone_15,True
ddv,iPhone 15 256GB Chính hãng (VN/A),iphone_15,iphone_15,True
ddv,iPhone 16 Plus 256GB Chính hãng (VN/A),iphone_16_plus,iphone_16_plus_256gb,False
ddv,iPhone 16 128GB Chính Hãng (VN/A),iphone_16,iphone_16,True
ddv,iPhone 16 Pro Max 1TB Chính Hãng (VN/A),iphone_16_pro_max,iphone_16_pro_max,True
ddv,iPhone 16 Pro Max 256GB Chính Hãng (VN/A),iphone_16_pro_max,iphone_16_pro_max,True
ddv,iPhone 15 256GB Chính hãng (VN/A),iphone_15,iphone_15,True
ddv,iPhone 16 Plus 128GB Chính hãng (VN/A),iphone_16_plus,iphone_16_plus_128gb,False
ddv,iPhone 16e 128GB Chính Hãng (VN/A),iphone_16e,iphone_16e,True
ddv,iPhone 16 128GB Chính Hãng (VN/A),iphone_16,iphone_16,True
ddv,iPhone 17 256GB Chính Hãng,iphone_17,iphone_17,True
ddv,iPhone 15 256GB Chính hãng (VN/A),iphone_15,iphone_15,True
ddv,iPhone 16 Plus 128GB Chính hãng (VN/A),,iphone_16_plus_128gb,False
ddv,iPhone 16 128GB Chính Hãng (VN/A),iphone_16,iphone_16,True
ddv,iPhone 17 256GB Chính Hãng,iphone_17,iphone_17,True
ddv,iPhone 16 128GB Chính Hãng (VN/A),iphone_16,iphone_16,True
ddv,iPhone 17 256GB Chính Hãng,iphone_17,iphone_17,True
ddv,iPhone 17 Pro 512GB Chính Hãng,iphone_17_pro,iphone_17_pro_512gb_pro_max_2023,False
ddv,iPhone 17 Pro 1TB Chính Hãng,iphone_17_pro,iphone_17_pro_max_512gb,False
ddv,iPhone 17 Pro Max 1TB Chính Hãng,iphone_17_pro_max,iphone_17_pro_max,True
ddv,iPhone 16 128GB Chính Hãng (VN/A),iphone_16,iphone_16,True
ddv,iPhone 17 256GB Chính Hãng,iphone_17,iphone_17,True
ddv,iPhone 17 Pro Max 256GB Chính Hãng,iphone_17_pro_max,iphone_17_pro_max,True
ddv,iPhone 17 Pro 512GB Chính Hãng,,iphone_17_pro_512gb_pro_max_2023,False
ddv,iPhone 17 Pro Max 1TB Chính Hãng,iphone_17_pro_max,iphone_17_pro_max,True
ddv,iPhone 17 256GB Chính Hãng,iphone_17,iphone_17,True
ddv,iPhone 17 Pro Max 256GB Chính Hãng,iphone_17_pro_max,iphone_17_pro_max,True
ddv,iPhone 17 Pro 256GB Chính Hãng,iphone_17_pro,iphone_17_pro_max_256gb,False
ddv,Apple Watch SE 2 (2024) 40mm (GPS) Viền nhôm - Dây cao su S/M,apple_watch_se_3_gps_40mm,apple_watch_se_3_gps_40mm,True
ddv,iPhone Air 1TB Chính Hãng,iphone_air,iphone_air_1tb_canonical,False
ddv,iPhone 17 Pro Max 256GB Chính Hãng,iphone_17_pro_max,iphone_17_pro_max,True
ddv,iPhone Air 512GB Chính Hãng,iphone_air,iphone_air_512gb,False
ddv,iPhone 17 Pro 256GB Chính Hãng,,iphone_17_pro_max_256gb,False
ddv,iPhone Air 1TB Chính Hãng,,iphone_air_1tb_canonical,False
ddv,iPhone Air 512GB Chính Hãng,,iphone_air_512gb,False
ddv,Apple Watch SE 2 (2024) 44mm (LTE) Viền nhôm - Dây cao su size S/M,apple_watch_se_3_lte_40mm,apple_watch_se_2_lte_44mm_aluminum_2024_size_s_m<|,False
ddv,Apple Watch SE 2 (2024) 44mm (GPS) Viền nhôm - Dây cao su size S/M,apple_watch_se_3_gps_44mm,apple_watch_se_3_gps_44mm,True
ddv,iPhone 17 Pro 256GB Chính Hãng,,iphone_17_pro_max_256gb,False
ddv,iPhone Air 512GB Chính Hãng,,iphone_air_512gb,False
ddv,iPhone 17 Pro Max 512GB Chính Hãng,iphone_17_pro_max,iphone_17_pro_max_512gb_max,False
ddv,iPhone Air 256GB Chính Hãng,iphone_air,iphone_air_256gb,False
ddv,Apple Watch SE 3 (2025) 44mm (5G) Viền nhôm - Dây cao su S/M,apple_watch_se_3_lte_44mm,apple_watch_se_3_lte_44mm,True
ddv,Apple Watch SE 3 (2025) 44mm (GPS) Viền nhôm - Dây cao su S/M,apple_watch_series_11_lte_42mm,apple_watch_se_3_gps_44mm_aluminum_2025,False
ddv,Apple Watch SE 2 (2024) 40mm (LTE) Viền nhôm - Dây cao su S/M,apple_watch_se_3_lte_40mm,apple_watch_se_2_lte_40mm_aluminum_2024,False
ddv,iPhone 17 Pro Max 512GB Chính Hãng,,iphone_17_pro_max_512gb_max,False
ddv,iPhone Air 256GB Chính Hãng,,iphone_air_256gb,False
ddv,Apple Watch Series 11 46mm (GPS) Viền nhôm - Dây cao su S/M,apple_watch_series_11_lte_42mm,apple_watch_series_11_gps_46mm_aluminum_42mm,False
ddv,Apple Watch SE 3 (2025) 40mm (GPS) Viền nhôm - Dây cao su S/M,apple_watch_series_11_lte_42mm,apple_watch_se_3_gps_40mm_aluminum_2025,False
ddv,Apple Watch Series 11 46mm (GPS) Viền nhôm - Dây cao su M/L,apple_watch_series_11_lte_42mm,apple_watch_series_11_gps_46mm_aluminum_42mm_l,False
ddv,iPhone 17 Pro Max 512GB Chính Hãng,,iphone_17_pro_max_512gb_max,False
ddv,iPhone Air 256GB Chính Hãng,,iphone_air_256gb,False
ddv,Apple Watch Series 11 46mm (GPS) Viền nhôm - Dây cao su S/M,,apple_watch_series_11_gps_46mm_aluminum_42mm,False
ddv,Apple Watch Series 9 45mm (GPS) Viền nhôm - Dây cao su size M/L,apple_watch_series_11_lte_42mm,apple_watch_series_9_gps_45mm_aluminum_2025<|fim_end|,False
ddv,Apple Watch Series 11 42mm (GPS) Viền nhôm - Dây cao su S/M,apple_watch_series_11_lte_42mm,apple_watch_series_11_gps_42mm_aluminum_2021,False
